Year Response Horror MorphForm Distance Helpee Verb Helper Year_new Distance_log
2011 Bare Yes help 6 Yes reintegrate Missing 21 1.79175946922805
2002 TO Yes help 6 Yes get Anim 12 1.79175946922805
1998 Bare No help 6 Yes monitor Inanim 8 1.79175946922805
2009 Bare No help 5 Yes learn Inanim 19 1.6094379124341
2009 Bare Yes help 5 Yes meet Missing 19 1.6094379124341
2001 Bare Yes help 5 Yes benefit Missing 11 1.6094379124341
2006 Bare Yes help 4 Yes rethink Anim 16 1.38629436111989
2006 TO No help 4 Yes plan Anim 16 1.38629436111989
2006 Bare No help 4 Yes feel Inanim 16 1.38629436111989
2003 Bare No help 4 Yes predict Inanim 13 1.38629436111989
2001 Bare Yes help 4 Yes get Missing 11 1.38629436111989
1998 Bare Yes help 4 Yes turn Missing 8 1.38629436111989
2012 Bare Yes help 3 Yes figure Anim 22 1.09861228866811
2012 Bare No help 3 Yes manage Inanim 22 1.09861228866811
2011 Bare Yes help 3 Yes motivate Missing 21 1.09861228866811
2010 Bare No help 3 Yes understand Inanim 20 1.09861228866811
2009 Bare No help 3 Yes transcend Anim 19 1.09861228866811
2009 Bare Yes help 3 Yes grow Inanim 19 1.09861228866811
2008 Bare No help 3 Yes see Inanim 18 1.09861228866811
2008 Bare No help 3 Yes understand Inanim 18 1.09861228866811
2007 TO No help 3 Yes read Anim 17 1.09861228866811
2007 TO No help 3 Yes be Inanim 17 1.09861228866811
2007 Bare Yes help 3 Yes seize Missing 17 1.09861228866811
2007 Bare No help 3 Yes start Inanim 17 1.09861228866811
2006 Bare No help 3 Yes use Inanim 16 1.09861228866811
2006 Bare No help 3 Yes adjust Inanim 16 1.09861228866811
2006 Bare No help 3 Yes target Inanim 16 1.09861228866811
2005 Bare No help 3 Yes finish Anim 15 1.09861228866811
2004 Bare Yes help 3 Yes concentrate Missing 14 1.09861228866811
2004 Bare No help 3 Yes gain Anim 14 1.09861228866811
2004 Bare Yes help 3 Yes want Missing 14 1.09861228866811
2004 Bare Yes help 3 Yes start Anim 14 1.09861228866811
2003 Bare Yes help 3 Yes straighten Missing 13 1.09861228866811
2003 Bare No help 3 Yes place Inanim 13 1.09861228866811
2003 TO Yes help 3 Yes bring Anim 13 1.09861228866811
2002 Bare No help 3 Yes be Anim 12 1.09861228866811
2001 TO No help 3 Yes travel Anim 11 1.09861228866811
2001 Bare Yes help 3 Yes settle Anim 11 1.09861228866811
2000 Bare Yes help 3 Yes stay Missing 10 1.09861228866811
2000 Bare Yes help 3 Yes get Anim 10 1.09861228866811
2000 Bare Yes help 3 Yes resist Inanim 10 1.09861228866811
1999 Bare No help 3 Yes find Anim 9 1.09861228866811
1999 Bare Yes help 3 Yes find Missing 9 1.09861228866811
1998 Bare No help 3 Yes perfect Anim 8 1.09861228866811
1998 Bare Yes help 3 Yes motivate Missing 8 1.09861228866811
1998 Bare No help 3 Yes locate Inanim 8 1.09861228866811
1997 Bare No help 3 Yes understand Inanim 7 1.09861228866811
1997 Bare Yes help 3 Yes understand Anim 7 1.09861228866811
1997 TO No help 3 Yes reduce Inanim 7 1.09861228866811
1995 Bare No help 3 Yes absorb Inanim 5 1.09861228866811
