Year	Response	Horror	MorphForm	Distance	Helpee	Verb	Helper	Stress	Year_new	Distance_log
1993	Bare	No	helped	1	No	develop	Anim	Good	3	0
1993	Bare	Yes	help	1	No	cut	Missing	Clash	3	0
1994	TO	No	helping	1	No	give	Inanim	Good	4	0
1994	TO	No	helps	1	No	relax	Inanim	Good	4	0
1994	Bare	No	helped	2	Yes	express	Inanim	Lapse	4	0.693147180559945
1994	Bare	No	help	2	Yes	reflect	Inanim	Lapse	4	0.693147180559945
1994	TO	No	helping	2	Yes	select	Missing	Lapse	4	0.693147180559945
1990	Bare	No	help	3	Yes	bag	Anim	Good	0	1.09861228866811
1994	Bare	Yes	help	2	Yes	keep	Missing	Clash	4	0.693147180559945
1994	Bare	Yes	help	1	No	reform	Missing	Good	4	0
1994	Bare	No	helps	2	Yes	heal	Inanim	Good	4	0.693147180559945
1994	Bare	No	help	1	No	calibrate	Inanim	Clash	4	0
1994	Bare	Yes	help	1	No	reconstruct	Missing	Lapse	4	0
1994	Bare	No	help	2	Yes	get	Inanim	Good	4	0.693147180559945
1994	Bare	No	helped	1	No	put	Inanim	Clash	4	0
1994	TO	No	helped	1	No	break	Anim	Clash	4	0
1994	Bare	No	helped	1	No	knit	Inanim	Clash	4	0
1994	Bare	No	help	1	No	stiffen	Inanim	Clash	4	0
1994	Bare	No	help	1	No	substantiate	Inanim	Good	4	0
1995	TO	No	helping	1	No	reduce	Missing	Lapse	5	0
1995	Bare	No	help	1	No	write	Anim	Clash	5	0
1990	Bare	Yes	help	1	No	finance	Anim	Clash	0	0
1995	Bare	No	help	1	No	conserve	Inanim	Good	5	0
1995	Bare	No	helping	3	Yes	lose	Missing	Good	5	1.09861228866811
1995	TO	No	help	4	Yes	regain	Inanim	Lapse	5	1.38629436111989
1995	TO	No	helps	1	No	unweight	Inanim	Good	5	0
1995	Bare	No	help	2	Yes	learn	Anim	Good	5	0.693147180559945
1995	TO	Yes	help	1	No	end	Missing	Clash	5	0
1995	Bare	No	help	2	Yes	meet	Inanim	Good	5	0.693147180559945
1995	TO	No	helps	1	No	target	Inanim	Clash	5	0
1995	TO	No	helping	1	No	kill	Anim	Good	5	0
1995	Bare	No	helped	3	Yes	achieve	Anim	Lapse	5	1.09861228866811
1995	Bare	No	help	2	Yes	create	Inanim	Lapse	5	0.693147180559945
1995	Bare	No	help	2	No	lose	Inanim	Clash	5	0.693147180559945
